STATIONNAME,RACKTOCNT,BIKETOCNT,SHARED_RATE,LATITUDE,LONGITUDE,STATIONID,UPDATETIME
832. 이촌1동 주민센터 뒤,20,29,145,37.52128220,126.97346497,ST-1339,2023-01-13 11:15:09.581783
834. 효창공원앞역 3번출구 뒤,15,35,233,37.53900909,126.96138000,ST-1341,2023-01-13 11:15:09.581783
835. 남영역 건너편,10,3,30,37.54198074,126.97154236,ST-1342,2023-01-13 11:15:09.581783
836. 현대자동차서비스 앞,15,7,47,37.53142166,126.95149994,ST-1343,2023-01-13 11:15:09.581783
837. 한남나들목 입구,10,9,90,37.52906036,127.00672913,ST-1344,2023-01-13 11:15:09.581783
838. 숙대입구역 4번출구,8,14,175,37.54446030,126.97238922,ST-1376,2023-01-13 11:15:09.581783
839. 보광동 삼성리버빌아파트 앞,10,23,230,37.52400970,127.00144958,ST-1441,2023-01-13 11:15:09.581783
840. 용산 파크타워 앞,10,14,140,37.52365112,126.97026825,ST-1442,2023-01-13 11:15:09.581783
841. 신용산역 1번 출구,30,40,133,37.52960968,126.96887207,ST-1443,2023-01-13 11:15:09.581783
844. 이촌2동 동원베네스트 아파트 앞,15,31,207,37.52714920,126.95516205,ST-1446,2023-01-13 11:15:09.581783
845. 용산 선인상가,16,1,6,37.53269958,126.96437836,ST-1615,2023-01-13 11:15:09.581783
846. 용산중학교,15,0,0,37.54650116,126.98094940,ST-1721,2023-01-13 11:15:09.581783
848. 삼각지12번 출구,10,24,240,37.53488922,126.97562408,ST-2172,2023-01-13 11:15:09.581783
849. 삼각지 자이아파트,20,27,135,37.53607941,126.97341919,ST-2173,2023-01-13 11:15:09.581783
850. KCC용산월츠타워 ,15,12,80,37.53739929,126.96892548,ST-2174,2023-01-13 11:15:09.581783
851.효창 푸르지오 앞,10,5,50,37.54047775,126.95811462,ST-2175,2023-01-13 11:15:09.581783
852.청암자이APT(103동),30,15,50,37.53452682,126.94718170,ST-2176,2023-01-13 11:15:09.581783
853.용산역 맞은편,19,2,11,37.52856827,126.96569061,ST-2177,2023-01-13 11:15:09.581783
854.HID 유족동지회 앞,10,3,30,37.53872681,127.00154877,ST-2178,2023-01-13 11:15:09.581783
855.이촌역5번출구 앞,10,2,20,37.52272415,126.97277069,ST-2179,2023-01-13 11:15:09.581783
857. 현대 안성타워,10,16,160,37.53502274,126.99805450,ST-2181,2023-01-13 11:15:09.581783
858.녹사평역3번 출구,10,1,10,37.53440857,126.98689270,ST-2182,2023-01-13 11:15:09.581783
860.LG한강 자이아파트 앞,22,8,36,37.52074814,126.97082520,ST-2184,2023-01-13 11:15:09.581783
863.이촌역2번 출구,10,2,20,37.52177048,126.97700500,ST-2187,2023-01-13 11:15:09.581783
864.순천향대학병원(한남오거리),10,9,90,37.53514099,127.00600433,ST-2188,2023-01-13 11:15:09.581783
865.하얏트호텔 앞,10,0,0,37.54079437,126.99784851,ST-2189,2023-01-13 11:15:09.581783
866.브라운스톤 남산아파트,10,11,110,37.55154800,126.97686005,ST-2190,2023-01-13 11:15:09.581783
867.서빙고역 광장(1번출구),10,17,170,37.51990891,126.98923492,ST-2191,2023-01-13 11:15:09.581783
869.노들섬 동측 앞,10,2,20,37.51729584,126.95914459,ST-2239,2023-01-13 11:15:09.581783
870.노들섬 서측 앞,10,17,170,37.51731873,126.95829773,ST-2240,2023-01-13 11:15:09.581783
900. 은평예술회관,20,10,50,37.60394287,126.92769623,ST-448,2023-01-13 11:15:09.581783
902. 진관동 은빛초등학교,10,10,100,37.64310837,126.91822052,ST-450,2023-01-13 11:15:09.581783
903. 은평뉴타운 아이파크,20,22,110,37.64586639,126.92739105,ST-451,2023-01-13 11:15:09.581783
904. 은평뉴타운 푸르지오,18,21,117,37.64867401,126.93070221,ST-452,2023-01-13 11:15:09.581783
905. 구파발역 2번출구,10,13,130,37.63623428,126.91899872,ST-453,2023-01-13 11:15:09.581783
906. 연신내역 5번출구,10,10,100,37.61721039,126.91957855,ST-454,2023-01-13 11:15:09.581783
907. CJ 드림시티,10,11,110,37.59949112,126.91686249,ST-455,2023-01-13 11:15:09.581783
908. 구산역 4번출구,10,4,40,37.61318588,126.91735077,ST-456,2023-01-13 11:15:09.581783
909. 백련산 힐스테이트 3차,10,1,10,37.58699417,126.92288208,ST-457,2023-01-13 11:15:09.581783
911. 은평평화공원(역촌역4번출구),10,9,90,37.60558319,126.92293549,ST-459,2023-01-13 11:15:09.581783
912. 응암오거리,20,22,110,37.58966064,126.91694641,ST-460,2023-01-13 11:15:09.581783
913. 이마트 버스정류장(서부경찰서 방면),15,7,47,37.60070038,126.92012787,ST-461,2023-01-13 11:15:09.581783
914. 새절역 2번출구,20,19,95,37.59079742,126.91365051,ST-462,2023-01-13 11:15:09.581783
915. 증산역 4번출구,10,13,130,37.58438110,126.90989685,ST-463,2023-01-13 11:15:09.581783
916. 평생학습관 앞,13,23,177,37.60784912,126.92132568,ST-464,2023-01-13 11:15:09.581783
917. 녹번역 3번출구,10,1,10,37.60078049,126.93521118,ST-465,2023-01-13 11:15:09.581783
919. 서울혁신파크,10,5,50,37.60702515,126.93331146,ST-467,2023-01-13 11:15:09.581783
921. 신도고등학교,10,0,0,37.63001633,126.91902924,ST-469,2023-01-13 11:15:09.581783
922. 연신내역 4번출구,10,0,0,37.61780167,126.92196655,ST-470,2023-01-13 11:15:09.581783
923. 국민은행 연서지점,10,4,40,37.62094879,126.92563629,ST-471,2023-01-13 11:15:09.581783
924. 메뚜기다리,12,9,75,37.62851715,126.92958069,ST-472,2023-01-13 11:15:09.581783
925. 불광역 2번출구,8,1,13,37.60956573,126.93097687,ST-473,2023-01-13 11:15:09.581783
927. 연신내역 3번출구 인근,10,3,30,37.61785507,126.92252350,ST-475,2023-01-13 11:15:09.581783
928. 은평역사한옥박물관,15,6,40,37.64131546,126.93804169,ST-476,2023-01-13 11:15:09.581783
930. 구 서부경찰서 건너편,7,6,86,37.60166168,126.92030334,ST-478,2023-01-13 11:15:09.581783
931. 역촌파출소,32,26,81,37.60473633,126.91533661,ST-479,2023-01-13 11:15:09.581783
932. 예일여중,20,15,75,37.61000443,126.91639709,ST-480,2023-01-13 11:15:09.581783
933. 역촌종합시장 버스정류장(예일여고 방면),15,22,147,37.61248398,126.91487885,ST-481,2023-01-13 11:15:09.581783
934. 신사동 성당,10,9,90,37.59714127,126.90959930,ST-1020,2023-01-13 11:15:09.581783
937. 상림마을 롯데캐슬2단지 옆,10,10,100,37.64585114,126.92379761,ST-1023,2023-01-13 11:15:09.581783
938. 금암 문화공원,10,9,90,37.64468384,126.91845703,ST-1024,2023-01-13 11:15:09.581783
939. 은평구청 교차로,15,4,27,37.60169983,126.92742157,ST-1025,2023-01-13 11:15:09.581783
941. 은평뉴타운 도서관,13,0,0,37.63722229,126.93330383,ST-1027,2023-01-13 11:15:09.581783
942. 상림마을 생태공원,9,10,111,37.64408112,126.92928314,ST-1028,2023-01-13 11:15:09.581783
945. 기자촌 사거리,10,2,20,37.63414001,126.93234253,ST-1031,2023-01-13 11:15:09.581783
946. 독바위역 ,16,1,6,37.61843872,126.93288422,ST-1032,2023-01-13 11:15:09.581783
947. 연신내 선일하이츠빌 정류소,10,2,20,37.62266922,126.91999054,ST-1033,2023-01-13 11:15:09.581783
948. 디지털미디어 시티역 4번출구(DMC역),10,4,40,37.57720184,126.90235138,ST-1034,2023-01-13 11:15:09.581783
949. 연신내역 1번 출구 ,6,15,250,37.61978149,126.92080688,ST-1035,2023-01-13 11:15:09.581783
950. 구산역 2번 출구 예일여고 버스정류장,15,17,113,37.60980225,126.91679382,ST-1036,2023-01-13 11:15:09.581783
952. 서울연신중학교,10,6,60,37.62265015,126.92524719,ST-1038,2023-01-13 11:15:09.581783
953. 서울연신초등학교,10,7,70,37.62577820,126.92881775,ST-1039,2023-01-13 11:15:09.581783
954. 은평뉴타운구파발9단지,10,12,120,37.64260864,126.92147827,ST-1329,2023-01-13 11:15:09.581783
956. 응암시장교차로,9,21,233,37.59441376,126.91801453,ST-1331,2023-01-13 11:15:09.581783
958. 본 서부병원 버스정류장(은평 세무서 방면),13,28,215,37.60036087,126.92281342,ST-1479,2023-01-13 11:15:09.581783
959. 구파발10단지 인근,10,9,90,37.64366150,126.91455841,ST-1480,2023-01-13 11:15:09.581783
960. 구파발역 환승센터,15,11,73,37.63825226,126.91945648,ST-1481,2023-01-13 11:15:09.581783
961. 불광역 9번 출구,8,2,25,37.61096954,126.92980957,ST-1482,2023-01-13 11:15:09.581783
962. 은평뉴타운 힐데스하임,10,6,60,37.63925934,126.91890717,ST-1483,2023-01-13 11:15:09.581783
963. 대호프라자아파트,13,4,31,37.61442947,126.93257904,ST-1484,2023-01-13 11:15:09.581783
964. 북한산힐스테이트 7차아파트,10,0,0,37.61654282,126.92512512,ST-1485,2023-01-13 11:15:09.581783
965. 서울특별시 은평병원,10,0,0,37.59347916,126.92318726,ST-1486,2023-01-13 11:15:09.581783
966. 서울혁신파크1,10,1,10,37.60903168,126.93467712,ST-1487,2023-01-13 11:15:09.581783
