,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류코드,표준산업분류명,도로명,경도,위도
8363,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 무네미로,126.75463608908,37.4746277793321
8516,코리아세븐마사회인천중앙5층,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 신포로23번길,126.622432981344,37.4720430295967
8541,솔드아웃,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 한나루로,126.662453728998,37.4402459703017
8563,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 만수로94번길,126.737256194108,37.4634056136709
8623,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 은하수로29번길,126.580892028583,37.4915269669925
8717,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 소성로,126.680411320764,37.4375825481739
8720,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 서달로179번길,126.678341190738,37.514741612735
8813,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 염곡로,126.665775404239,37.4905249475601
8831,세븐일레븐삼산미래타운,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 영성중로,126.745375225119,37.520689705609
8863,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 봉수대로277번길,126.658469892336,37.5006778512615
8865,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 남동대로733번길,126.703956487233,37.4482770952328
8881,굿데이24,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 보도진로,126.650056671743,37.4943469132919
8962,위드미,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 가정로,126.671794959835,37.5018015470379
8980,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 간석로,126.711996021388,37.4671425700539
8988,CU신흥사거리점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 서해대로,126.635324597483,37.4668495515283
9113,cu,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 남동대로,126.705628926156,37.416137358
9149,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 구월로,126.728630842604,37.4554290513182
9163,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 화랑남로,126.706198488192,37.4926234781158
9204,GS25운남중앙점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 운남안길,126.533680013532,37.4933650583735
9209,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 옹진군 연평면 연평로137번길,125.703556700567,37.6618335692393
9210,CU간석수연점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 석정로497번길,126.692336296698,37.4685304636109
9211,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 석산로62번길,126.698942836912,37.4604310248131
9234,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 앵고개로847번길,126.723492482165,37.3992838570653
9275,세븐일레븐인천석남공단점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 거북로24번길,126.664513751559,37.5029538502175
9289,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 고산로,126.70152788698,37.5944147441558
9310,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 경명대로,126.719842596907,37.5438874079446
9313,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 주안로,126.6740019514,37.4639651381753
9320,세븐일레븐,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 인하로507번길,126.702676179647,37.4438840108216
9335,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 경인로735번길,126.709075780007,37.4752470308306
9409,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 경원대로119번길,126.673080614032,37.4002876261155
9446,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 백범로248번길,126.721683228821,37.4612018241261
9454,GS25강화남산점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 강화읍 충렬사로,126.482655990265,37.7359158211472
9456,CU강화온수점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 길상면 삼랑성길,126.491759494901,37.6399521337646
9458,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 열우물로49번길,126.699545503782,37.4706643853328
9496,CU가정블루밍점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 석곶로,126.673896279511,37.5198276195801
9511,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 원당대로,126.638842786974,37.588104131841
9536,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 비류대로529번길,126.693525182052,37.4235819477653
9623,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 서구 건지로,126.654360194011,37.4965134237189
9634,CU비류원룸점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 비류대로347번길,126.673102642211,37.4252916867691
9658,위드미,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부흥로333번길,126.72901359033,37.4989080680798
9714,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 영성동로,126.748987817097,37.5218092642476
9762,GS25연수우주점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 연수구 먼우금로,126.679383205748,37.4234247939252
9787,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평문화로197번길,126.738657171476,37.4937133690861
9794,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 부평구 부평북로,126.706278697381,37.5220519208142
9801,CU왕산해변점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 중구 용유서로423번길,126.369039783357,37.4568154408266
9903,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 서창남로,126.75095378181,37.4234548714619
9910,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 인하로120번길,126.661335687468,37.4497211839268
9975,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 경인남길30번길,126.658777775359,37.4511969029388
10010,GS25,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 강화군 선원면 해안동로,126.519269528753,37.6918460903972
10047,GS25동구화수점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 동구 만석로,126.627249053966,37.4806858498551
10074,미니스톱,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 미추홀구 낙섬중로,126.639007617977,37.4538721768615
10173,코리아세븐인천간석2호점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 남동대로884번길,126.709455533246,37.4617086437814
10282,위드미구월아시아드점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 선수촌공원로23번길,126.709355385713,37.4412269988579
10296,CU,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 계양구 아나지로198번길,126.715955168951,37.5244461349886
10300,CU간석로즈힐점,소매,종합소매점,편의점,G47122,체인화 편의점,인천광역시 남동구 석산로197번길,126.714127319021,37.4615072859412
